cell,a_um,omega_p_MHz,ratio,delta_MHz,omega_c_MHz,V_ct_MHz,M_2,K,area,area_over_pi4,sigma_ns,T_f_ns,t_total_ns,F_bar,F_00,F_01,F_10,F_11
REV4_FINAL,5.0,50.0,3.5,500.0,50.0,226.27416997969527,25.859905140536604,0.99,0.7775603860876639,0.9900206319863545,1.7186914315932331,190.1454631796779,400.2909263593558,0.9891333247409438,0.9992317984205696,0.9852650538385898,0.9852650538417682,0.9867713928628479
REV4_FINAL,5.0,50.0,3.5,500.0,50.0,226.27416997969527,25.859905140536604,1.0,0.7854145314016806,1.000020840390257,1.7713008377760187,192.06612442391705,404.1322488478341,0.9871288375263445,0.999040972280774,0.9820303758142521,0.9820303758255149,0.9854136261848367
REV4_FINAL,5.0,50.0,3.5,500.0,50.0,226.27416997969527,25.859905140536604,1.01,0.7932686767156973,1.0100210487941594,1.8249730244614701,193.98678566815624,407.9735713363125,0.9846787979551597,0.9986608306382093,0.9782557515655085,0.9782557515655085,0.9835428580514125
REV4_FINAL,5.0,50.0,3.5,500.0,50.0,226.27416997969527,25.859905140536604,1.02,0.8011228220297143,1.0200212571980622,1.8797186194546136,195.9074469123954,411.81489382479083,0.9817989205158606,0.9981574803796243,0.9739387755034365,0.9739387755051163,0.9811606506752655
CHAMPION,4.0,60.0,4.0,500.0,70.0,441.9417382415923,30.690398488999463,0.88,0.6911647876334791,0.8800183395434263,0.4042526431892805,117.37374270350493,249.03319969272414,0.9836424718353503,0.9974539005179641,0.9844044885409787,0.9844044885758436,0.9683070097066144
CHAMPION,4.0,60.0,4.0,500.0,70.0,441.9417382415923,30.690398488999463,0.89,0.6990189329474958,0.8900185479473288,0.41819118264067184,118.70753523422657,251.70078475416742,0.9863085069432687,0.9975908409618728,0.9874814043856809,0.9874814043856809,0.97268037803984
CHAMPION,4.0,60.0,4.0,500.0,70.0,441.9417382415923,30.690398488999463,0.9,0.7068730782615127,0.9000187563512315,0.43244649359766146,120.04132776494822,254.36836981561072,0.9886067976746689,0.997838605483815,0.9900168170524655,0.9900168170524655,0.9765549511099295
CHAMPION,4.0,60.0,4.0,500.0,70.0,441.9417382415923,30.690398488999463,0.91,0.7147272235755295,0.9100189647551341,0.44702213529064927,121.37512029566987,257.035954877054,0.9905236032612179,0.9981583440990713,0.9920027120076205,0.9920027120076205,0.9799306449305596
CHAMPION,4.0,60.0,4.0,500.0,70.0,441.9417382415923,30.690398488999463,0.92,0.7225813688895464,0.9200191731590367,0.46192166695003534,122.70891282639151,259.70353993849733,0.9920448935542707,0.9985097429071518,0.9934370264814653,0.9934370264814653,0.9827957783470008
CHAMPION,4.0,60.0,4.0,500.0,70.0,441.9417382415923,30.690398488999463,0.93,0.730435514203563,0.9300193815629391,0.4771486478062197,124.04270535711316,262.3711249999406,0.9931653240457219,0.9988601026013356,0.9943234411353036,0.9943234411353036,0.9851543113109451
CHAMPION,4.0,60.0,4.0,500.0,70.0,441.9417382415923,30.690398488999463,0.94,0.73828965951758,0.9400195899668419,0.4927066370896021,125.37649788783482,265.0387100613839,0.9938741514309082,0.9991752488216513,0.9946601357883971,0.9946601357883971,0.9870010853251874
