a_um,omega_p_MHz,ratio,delta_MHz,omega_c_MHz,omega_R_MHz,V_ct_MHz,V_DD_MHz,V_cc_MHz,R_DD,R_AA,T_c_ns,T_f_ns,sigma_ns,t_total_ns,M1,M2,F_bar,F_00,F_01,F_10,F_11
4.0,50.0,3.5,500.0,30.0,175.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,16.666666666666668,192.06612442391705,1.7713008377760187,417.4655821811674,176.77669529663692,50.50762722761055,0.9872365785596835,0.9990407358325786,0.9905087977770947,0.9905087978472031,0.9688879827818575
4.0,50.0,3.5,500.0,50.0,175.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,10.0,192.06612442391705,1.7713008377760187,404.1322488478341,176.77669529663692,50.50762722761055,0.9902435736628856,0.9990399370897034,0.9905842014214081,0.9905842014214081,0.9807659547190231
4.0,50.0,3.5,500.0,70.0,175.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,7.142857142857143,192.06612442391705,1.7713008377760187,398.41796313354837,176.77669529663692,50.50762722761055,0.9910972668135378,0.9990410034587831,0.9906148978001128,0.9906148978383933,0.9841182681568619
4.0,50.0,3.5,600.0,30.0,175.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,16.666666666666668,230.47934930870048,3.0608078476769607,494.29203195073427,212.1320343559643,60.609152673132655,0.9891359608496035,0.99863737017661,0.9905017966320961,0.9905017966320961,0.976902879957612
4.0,50.0,3.5,600.0,50.0,175.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,10.0,230.47934930870048,3.0608078476769607,480.95869861740096,212.1320343559643,60.609152673132655,0.9906033047629933,0.99863633959447,0.9905761010489826,0.9905761010494706,0.9826246773590499
4.0,50.0,3.5,600.0,70.0,175.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,7.142857142857143,230.47934930870048,3.0608078476769607,475.24441290311523,212.1320343559643,60.609152673132655,0.9910353378509432,0.998637040456658,0.9906085740226809,0.9906085740226809,0.9842871629017532
4.0,50.0,3.5,800.0,30.0,175.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,16.666666666666668,307.30579907826734,7.255248231530577,647.9449314898679,282.8427124746191,80.81220356417688,0.9876284708965399,0.9980515934101556,0.9896398763950178,0.9896398763950178,0.9731825373859684
4.0,50.0,3.5,800.0,50.0,175.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,10.0,307.30579907826734,7.255248231530577,634.6115981565347,282.8427124746191,80.81220356417688,0.9891964923510252,0.998051088439162,0.9897113798090533,0.9897113798090533,0.9793121213468325
4.0,50.0,3.5,800.0,70.0,175.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,7.142857142857143,307.30579907826734,7.255248231530577,628.8973124422489,282.8427124746191,80.81220356417688,0.9896283499843042,0.9980499467732595,0.9897433046316314,0.9897433046316314,0.9809768439006944
4.0,50.0,4.0,400.0,30.0,200.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,16.666666666666668,153.65289953913367,0.9069060289413221,340.63913241160066,141.42135623730954,35.355339059327385,0.986235374103758,0.9996511966240491,0.9867705211111433,0.9867705211163154,0.971749257563524
4.0,50.0,4.0,400.0,50.0,200.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,10.0,153.65289953913367,0.9069060289413221,327.30579907826734,141.42135623730954,35.355339059327385,0.9889411679751615,0.9996508811880257,0.9868500416825046,0.9868500416857087,0.9824137073444074
4.0,50.0,4.0,400.0,70.0,200.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,7.142857142857143,153.65289953913367,0.9069060289413221,321.5915133639816,141.42135623730954,35.355339059327385,0.9896863690164193,0.9996508217531326,0.9868763494687578,0.9868763494706045,0.9853419553731819
4.0,50.0,4.0,500.0,30.0,200.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,16.666666666666668,192.06612442391705,1.7713008377760187,417.4655821811674,176.77669529663692,44.19417382415923,0.9861978705080325,0.9994293974229834,0.9884581469960758,0.9884581470438576,0.9684457905692134
4.0,50.0,4.0,500.0,50.0,200.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,10.0,192.06612442391705,1.7713008377760187,404.1322488478341,176.77669529663692,44.19417382415923,0.989208039076412,0.9994287127651664,0.9885335192574071,0.9885335192601847,0.9803364050228893
4.0,50.0,4.0,500.0,70.0,200.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,7.142857142857143,192.06612442391705,1.7713008377760187,398.41796313354837,176.77669529663692,44.19417382415923,0.9900601864998828,0.9994291622562073,0.9885640393120981,0.9885640393529627,0.9836835050782629
4.0,50.0,4.0,600.0,30.0,200.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,16.666666666666668,230.47934930870048,3.0608078476769607,494.29203195073427,212.1320343559643,53.03300858899107,0.9884925077783921,0.9992910825552546,0.9890644090727647,0.9890644090727647,0.9765501304127844
4.0,50.0,4.0,600.0,50.0,200.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,10.0,230.47934930870048,3.0608078476769607,480.95869861740096,212.1320343559643,53.03300858899107,0.9899663457454123,0.9992906247805657,0.9891385463657976,0.9891385463657976,0.9822976654694884
4.0,50.0,4.0,600.0,70.0,200.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,7.142857142857143,230.47934930870048,3.0608078476769607,475.24441290311523,212.1320343559643,53.03300858899107,0.9903994151291738,0.9992906593469467,0.9891708636637584,0.9891708636660335,0.9839652738399569
4.0,50.0,4.0,800.0,30.0,200.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,16.666666666666668,307.30579907826734,7.255248231530577,647.9449314898679,282.8427124746191,70.71067811865477,0.9874588657814009,0.999167309169581,0.9888244014496397,0.9888244014496397,0.9730193510567431
4.0,50.0,4.0,800.0,50.0,200.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,10.0,307.30579907826734,7.255248231530577,634.6115981565347,282.8427124746191,70.71067811865477,0.9890244321618487,0.999167072917968,0.9888959703194571,0.9888959703194571,0.9791387150905122
