omega_p_MHz,ratio,delta_MHz,omega_c_MHz,omega_R_MHz,T_c_ns,T_f_ns,sigma_ns,t_total_ns,M1,M2,F_bar,F_00,F_01,F_10,F_11
55.0,3.2,550.0,70.0,176.0,7.142857142857143,174.60556765810645,1.330804536270488,363.4968496019272,160.70608663330628,50.220652072908216,0.9899118763523436,0.9802248532410638,0.9946509372959076,0.9946509372959076,0.9901207775764951
55.0,3.2,600.0,50.0,176.0,10.0,190.47880108157065,1.7277462349176578,400.9576021631413,175.31573087269777,54.78616589771806,0.9890511395530295,0.9802345928803218,0.9947461470175762,0.9947461470175762,0.9864776712966438
55.0,3.2,600.0,60.0,176.0,8.333333333333334,190.47880108157065,1.7277462349176578,397.62426882980793,175.31573087269777,54.78616589771806,0.9895809075862237,0.9802333705183655,0.9947555668980468,0.9947555668980468,0.988579126030436
55.0,3.2,600.0,70.0,176.0,7.142857142857143,190.47880108157065,1.7277462349176578,395.2433164488556,175.31573087269777,54.78616589771806,0.9899027704305312,0.9802324893175297,0.9947634308923021,0.9947634308923021,0.989851730619991
60.0,2.8,400.0,50.0,168.0,10.0,106.70340245773176,0.3037209941316909,233.4068049154635,98.20927516479829,35.074741130285105,0.9824522862418479,0.9459608277572126,0.9949451019266462,0.9949451019611146,0.9939581133224183
60.0,2.8,400.0,60.0,168.0,8.333333333333334,106.70340245773176,0.3037209941316909,230.07347158213017,98.20927516479829,35.074741130285105,0.9825728269534804,0.9459545447708924,0.9949555651174398,0.9949555651174398,0.9944256328081498
60.0,2.8,400.0,70.0,168.0,7.142857142857143,106.70340245773176,0.3037209941316909,227.69251920117782,98.20927516479829,35.074741130285105,0.9826257826257765,0.9458693628874099,0.9949630665164156,0.9949630665164156,0.9947076345828647
60.0,2.8,450.0,50.0,168.0,10.0,120.04132776494822,0.43244649359766146,260.08265552989644,110.48543456039808,39.45908377157075,0.9837491529614587,0.9518848974934726,0.9952255905396742,0.995225590543256,0.992660533269432
60.0,2.8,450.0,60.0,168.0,8.333333333333334,120.04132776494822,0.43244649359766146,256.7493221965631,110.48543456039808,39.45908377157075,0.9839740202848588,0.9519696630893907,0.995235191432435,0.995235191432435,0.9934560351851748
60.0,2.8,450.0,70.0,168.0,7.142857142857143,120.04132776494822,0.43244649359766146,254.36836981561072,110.48543456039808,39.45908377157075,0.9840755902303754,0.9518844533159856,0.9952439087891183,0.995243908789559,0.9939300900268385
60.0,2.8,500.0,50.0,168.0,10.0,133.3792530721647,0.5932050666634587,286.75850614432943,122.76159395599785,43.84342641285638,0.9845962247859525,0.9565341192925791,0.9954151492792548,0.9954151492818223,0.9910204812901536
60.0,2.8,500.0,60.0,168.0,8.333333333333334,133.3792530721647,0.5932050666634587,283.42517281099606,122.76159395599785,43.84342641285638,0.9848872976333072,0.9564640581034771,0.9954255328006516,0.9954255328006516,0.9922340668284482
60.0,2.8,500.0,70.0,168.0,7.142857142857143,133.3792530721647,0.5932050666634587,281.04422043004365,122.76159395599785,43.84342641285638,0.985089297427568,0.956523761880078,0.9954339366788206,0.9954339367127027,0.9929655544386705
60.0,2.8,550.0,50.0,168.0,10.0,146.71717837938118,0.7895559437290638,313.43435675876236,135.03775335159764,48.227769054142016,0.9850934446283741,0.9599672821889234,0.9955352793625758,0.9955352793625758,0.9893359375994215
60.0,2.8,550.0,60.0,168.0,8.333333333333334,146.71717837938118,0.7895559437290638,310.101023425429,135.03775335159764,48.227769054142016,0.9855187527133125,0.9600062218961035,0.9955463158909628,0.9955463158909628,0.9909761571752205
60.0,2.8,550.0,70.0,168.0,7.142857142857143,146.71717837938118,0.7895559437290638,307.72007104447664,135.03775335159764,48.227769054142016,0.9857585405690046,0.9599596282866307,0.9955579925744147,0.9955579925744147,0.9919585488405581
60.0,2.8,600.0,50.0,168.0,10.0,160.05510368659765,1.025058355194457,340.1102073731953,147.31391274719743,52.61211169542765,0.9854406521558546,0.9626561250797697,0.9956005271125876,0.9956005271125876,0.9879054293184735
60.0,2.8,600.0,60.0,168.0,8.333333333333334,160.05510368659765,1.025058355194457,336.7768740398619,147.31391274719743,52.61211169542765,0.9859427803596503,0.9626605602303597,0.9956109695493569,0.9956109695493569,0.9898886221095278
60.0,2.8,600.0,70.0,168.0,7.142857142857143,160.05510368659765,1.025058355194457,334.3959216589096,147.31391274719743,52.61211169542765,0.9862505365033238,0.9626860865809473,0.9956176489320705,0.9956176489320705,0.9910807615682067
60.0,3.0,400.0,50.0,180.0,10.0,106.70340245773176,0.3037209941316909,233.4068049154635,98.20927516479829,32.736425054932766,0.9948729620069099,0.9978884967411329,0.9939208637009528,0.9939208637009528,0.9937616238846011
60.0,3.0,400.0,60.0,180.0,8.333333333333334,106.70340245773176,0.3037209941316909,230.07347158213017,98.20927516479829,32.736425054932766,0.9949964847587314,0.9978883790361863,0.9939313203585122,0.9939313203585122,0.9942349192817146
60.0,3.0,400.0,70.0,180.0,7.142857142857143,106.70340245773176,0.3037209941316909,227.69251920117782,98.20927516479829,32.736425054932766,0.9950715768007026,0.9978884571057345,0.9939387333407266,0.9939387333407266,0.9945203834156229
60.0,3.0,450.0,50.0,180.0,10.0,120.04132776494822,0.43244649359766146,260.08265552989644,110.48543456039808,36.82847818679936,0.9947758613635225,0.9978359723656453,0.9943892911516099,0.9943892911925595,0.9924888907442755
60.0,3.0,450.0,60.0,180.0,8.333333333333334,120.04132776494822,0.43244649359766146,256.7493221965631,110.48543456039808,36.82847818679936,0.9949827286047274,0.9978379191077718,0.9943997342321045,0.9943997342321045,0.9932935268469288
60.0,3.0,450.0,70.0,180.0,7.142857142857143,120.04132776494822,0.43244649359766146,254.36836981561072,110.48543456039808,36.82847818679936,0.9951078078341917,0.9978453060998211,0.994408494186847,0.9944084941877198,0.9937689368623792
60.0,3.0,500.0,50.0,180.0,10.0,133.3792530721647,0.5932050666634587,286.75850614432943,122.76159395599785,40.92053131866595,0.9943906760070604,0.9972400841723128,0.994722163820936,0.994722163820936,0.9908782922140569
60.0,3.0,500.0,60.0,180.0,8.333333333333334,133.3792530721647,0.5932050666634587,283.42517281099606,122.76159395599785,40.92053131866595,0.9947033698958037,0.9972536191846131,0.9947331782945068,0.9947331782945068,0.9920935038095877
60.0,3.0,500.0,70.0,180.0,7.142857142857143,133.3792530721647,0.5932050666634587,281.04422043004365,122.76159395599785,40.92053131866595,0.99488981499096,0.9972510843845019,0.9947399813370564,0.9947399813707059,0.9928282128715756
60.0,3.0,550.0,50.0,180.0,10.0,146.71717837938118,0.7895559437290638,313.43435675876236,135.03775335159764,45.01258445053255,0.993908816177083,0.9965056660990366,0.9949518874463141,0.9949518874463141,0.9892258237166673
60.0,3.0,550.0,60.0,180.0,8.333333333333334,146.71717837938118,0.7895559437290638,310.101023425429,135.03775335159764,45.01258445053255,0.9943200897011285,0.996493074795012,0.9949643453771999,0.9949643453771999,0.9908585932551022
60.0,3.0,550.0,70.0,180.0,7.142857142857143,146.71717837938118,0.7895559437290638,307.72007104447664,135.03775335159764,45.01258445053255,0.9945727568300778,0.9965064876702705,0.9949701119516816,0.9949701119516816,0.9918443157466776
60.0,3.0,600.0,50.0,180.0,10.0,160.05510368659765,1.025058355194457,340.1102073731953,147.31391274719743,49.10463758239914,0.9934462499190538,0.9957659994728527,0.9951031311219676,0.9951031311219676,0.9878127379594275
60.0,3.0,600.0,60.0,180.0,8.333333333333334,160.05510368659765,1.025058355194457,336.7768740398619,147.31391274719743,49.10463758239914,0.9939454899527362,0.9957618421738109,0.9951135751462452,0.9951135751462452,0.9897929673446436
60.0,3.0,600.0,70.0,180.0,7.142857142857143,160.05510368659765,1.025058355194457,334.3959216589096,147.31391274719743,49.10463758239914,0.9942471406948673,0.9957652467123167,0.9951200037355565,0.9951200037355565,0.9909833085960396
