a_um,omega_p_MHz,ratio,delta_MHz,omega_c_MHz,omega_R_MHz,V_ct_MHz,V_DD_MHz,V_cc_MHz,R_DD,R_AA,T_c_ns,T_f_ns,sigma_ns,t_total_ns,M1,M2,F_bar,F_00,F_01,F_10,F_11,n_neighbors_total,n_neighbors_pass,robust_score,pass
4.0,60.0,3.5,600.0,70.0,210.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,7.142857142857143,152.05234850226776,0.8788594072848475,318.3904112902498,147.31391274719743,42.08968935634213,0.9924291766259625,0.9972580210773432,0.9939020781150896,0.9939020781450283,0.9846545291663891,7,7,1.0,1
4.5,60.0,3.0,500.0,50.0,180.0,310.38980792825134,1.0922755301152902,-1.3698604360596933,284.1680504327416,226.5849861472499,10.0,126.71029041855644,0.5085991940305828,273.4205808371129,86.21939109118092,28.739797030393643,0.992385201677106,0.9919851650364055,0.9945689257173548,0.9945689257349115,0.9884177902197521,8,8,1.0,1
5.0,60.0,3.0,500.0,30.0,180.0,226.27416997969527,0.58048,-0.7279999999999999,389.805281800743,310.81616755452654,16.666666666666668,126.71029041855644,0.5085991940305828,286.7539141704462,62.85393610547091,20.951312035156967,0.9922301628503536,0.9920193156324524,0.9939553919212476,0.9939553919212476,0.9889905519264669,7,7,1.0,1
4.5,40.0,4.0,400.0,70.0,160.0,310.38980792825134,1.0922755301152902,-1.3698604360596933,284.1680504327416,226.5849861472499,7.142857142857143,228.07852275340156,2.966150499586358,470.44275979251745,155.19490396412567,38.79872599103142,0.9915166424105204,0.999613633031402,0.991520714823545,0.9915207148434781,0.9834115069436563,6,6,1.0,1
4.5,60.0,3.0,400.0,70.0,180.0,310.38980792825134,1.0922755301152902,-1.3698604360596933,284.1680504327416,226.5849861472499,7.142857142857143,101.36823233484517,0.26040278734365846,217.02217895540463,68.97551287294475,22.991837624314915,0.9911673136707236,0.9853359687052972,0.9947510269683317,0.9947510269826529,0.9898312320266127,6,6,1.0,1
4.5,60.0,3.0,400.0,50.0,180.0,310.38980792825134,1.0922755301152902,-1.3698604360596933,284.1680504327416,226.5849861472499,10.0,101.36823233484517,0.26040278734365846,222.73646466969032,68.97551287294475,22.991837624314915,0.9910292486181851,0.9853417363912225,0.994718723465646,0.994718723486691,0.9893378111291806,7,7,1.0,1
5.0,50.0,3.5,500.0,50.0,175.0,226.27416997969527,0.58048,-0.7279999999999999,389.805281800743,310.81616755452654,10.0,182.4628182027212,1.5186690557882137,384.9256364054424,90.5096679918781,25.859905140536604,0.9924224493876945,0.997233004265649,0.9927036846088604,0.9927036846209552,0.9870494240553136,10,9,0.9,1
5.0,50.0,3.5,600.0,50.0,175.0,226.27416997969527,0.58048,-0.7279999999999999,389.805281800743,310.81616755452654,10.0,218.95538184326546,2.624260128402034,457.9107636865309,108.61160159025373,31.031886168643922,0.9920659651700783,0.9981062093409001,0.9925318682256921,0.992531868228415,0.9850939148853056,10,9,0.9,1
4.5,50.0,4.0,500.0,50.0,200.0,310.38980792825134,1.0922755301152902,-1.3698604360596933,284.1680504327416,226.5849861472499,10.0,182.4628182027212,1.5186690557882137,384.9256364054424,124.15592317130054,31.038980792825136,0.9930903273491464,0.9996412838277512,0.9928984465100201,0.9928984465367339,0.9869231325220802,9,8,0.8888888888888888,1
5.0,60.0,3.5,600.0,50.0,210.0,226.27416997969527,0.58048,-0.7279999999999999,389.805281800743,310.81616755452654,10.0,152.05234850226776,0.8788594072848475,324.1046970045355,75.42472332656509,21.54992095044717,0.9928482451623861,0.9972586364336713,0.99234806275178,0.9923480627602843,0.989438218703809,9,8,0.8888888888888888,1
