omega_p_MHz,ratio,delta_MHz,omega_c_MHz,omega_R_MHz,T_c_ns,T_f_ns,sigma_ns,t_total_ns,M1,M2,F_bar,F_00,F_01,F_10,F_11,n_neighbors_total,n_neighbors_pass,robust_score,pass
60.0,3.0,550.0,70.0,180.0,7.142857142857143,146.71717837938118,0.7895559437290638,307.72007104447664,135.03775335159764,45.01258445053255,0.9945727568300778,0.9965064876702705,0.9949701119516816,0.9949701119516816,0.9918443157466776,7,6,0.8571428571428571,1
65.0,3.0,400.0,60.0,195.0,8.333333333333334,90.91887546694302,0.1878893548390505,198.5044176005527,83.68127588006482,27.89375862668827,0.9944864247019904,0.9972838419466381,0.9928945654307082,0.9928945654307082,0.9948727259999073,7,6,0.8571428571428571,1
55.0,3.0,500.0,70.0,165.0,7.142857142857143,158.7323342346422,0.999853145206978,331.75038275499867,146.09644239391483,48.69881413130494,0.9944163740154837,0.9965595749597513,0.9950741645712535,0.9950741645712535,0.9909575919596763,7,6,0.8571428571428571,1
65.0,3.2,450.0,60.0,208.0,8.333333333333334,102.28373490031089,0.2675221478079449,221.23413646728847,94.14143536507291,29.419198551585286,0.9902161258351279,0.9823882139902902,0.992109501214512,0.992109501214512,0.9942572869211971,7,6,0.8571428571428571,1
55.0,3.0,400.0,70.0,165.0,7.142857142857143,126.98586738771378,0.5119248103459729,268.25744906114187,116.87715391513184,38.95905130504395,0.9950901811603666,0.9979158409438744,0.9946284692803277,0.9946284693123275,0.993187945104937,6,5,0.8333333333333334,1
60.0,3.0,400.0,70.0,180.0,7.142857142857143,106.70340245773176,0.3037209941316909,227.69251920117782,98.20927516479829,32.736425054932766,0.9950715768007026,0.9978884571057345,0.9939387333407266,0.9939387333407266,0.9945203834156229,6,5,0.8333333333333334,1
70.0,3.0,550.0,70.0,210.0,7.142857142857143,107.79221268689227,0.31311377156306613,229.87013965949882,99.21141062566359,33.070470208554525,0.9949444057937507,0.9976421675539683,0.9937750890939359,0.9937750890939359,0.9945852774331628,6,5,0.8333333333333334,1
60.0,3.0,400.0,50.0,180.0,10.0,106.70340245773176,0.3037209941316909,233.4068049154635,98.20927516479829,32.736425054932766,0.9948729620069099,0.9978884967411329,0.9939208637009528,0.9939208637009528,0.9937616238846011,6,5,0.8333333333333334,1
65.0,3.0,600.0,70.0,195.0,7.142857142857143,136.3783132004145,0.6341265725817954,287.04234068654335,125.52191382009721,41.84063794003241,0.994680275197055,0.9964571165756051,0.9947906339847634,0.9947906339847634,0.9926827162430882,6,5,0.8333333333333334,1
55.0,3.0,400.0,50.0,165.0,10.0,126.98586738771378,0.5119248103459729,273.9717347754276,116.87715391513184,38.95905130504395,0.9946746497723282,0.9979100868366069,0.9946091127482348,0.9946091127520649,0.9915702867524063,6,5,0.8333333333333334,1
65.0,3.0,400.0,70.0,195.0,7.142857142857143,90.91887546694302,0.1878893548390505,196.12346521960035,83.68127588006482,27.89375862668827,0.9945365646065571,0.9972834549797814,0.9929019859729001,0.9929019859729001,0.9950588315006466,6,5,0.8333333333333334,1
65.0,3.0,400.0,50.0,195.0,10.0,90.91887546694302,0.1878893548390505,201.83775093388604,83.68127588006482,27.89375862668827,0.9944036726010752,0.9972832728284199,0.9928840782506834,0.99288407827918,0.9945632610460174,6,5,0.8333333333333334,1
60.0,3.0,600.0,70.0,180.0,7.142857142857143,160.05510368659765,1.025058355194457,334.3959216589096,147.31391274719743,49.10463758239914,0.9942471406948673,0.9957652467123167,0.9951200037355565,0.9951200037355565,0.9909833085960396,6,5,0.8333333333333334,1
55.0,3.2,400.0,60.0,176.0,8.333333333333334,126.98586738771378,0.5119248103459729,270.6384014420942,116.87715391513184,36.52411059847871,0.9903967318745236,0.9817724611586627,0.9936970748997044,0.9936970748997044,0.9924203165400232,6,5,0.8333333333333334,1
65.0,3.2,400.0,60.0,208.0,8.333333333333334,90.91887546694302,0.1878893548390505,198.5044176005527,83.68127588006482,26.150398712520257,0.9903238179738015,0.9846250333622333,0.9910597713478189,0.9910597713478189,0.9945506958373351,6,5,0.8333333333333334,1
65.0,3.2,450.0,70.0,208.0,7.142857142857143,102.28373490031089,0.2675221478079449,218.85318408633609,94.14143536507291,29.419198551585286,0.9902778567203387,0.9823864080086884,0.9921138300309683,0.9921138300309683,0.9944973588107298,6,5,0.8333333333333334,1
65.0,3.2,500.0,70.0,208.0,7.142857142857143,113.64859433367876,0.3669713961700203,241.5829029530718,104.60159485008103,32.68799839065032,0.9902435481891505,0.9811825557572985,0.9928952828296908,0.9928952828296908,0.9940010713399222,6,5,0.8333333333333334,1
55.0,3.2,450.0,70.0,176.0,7.142857142857143,142.859100811178,0.7288929428558871,300.00391590807027,131.48679815452334,41.08962442328854,0.990242823840942,0.9807847993724033,0.9941557079256298,0.9941557079262344,0.9918750801395007,6,5,0.8333333333333334,1
