a_um,omega_p_MHz,ratio,delta_MHz,omega_c_MHz,omega_R_MHz,V_ct_MHz,V_DD_MHz,V_cc_MHz,R_DD,R_AA,selectivity_ok,T_c_ns,T_f_ns,sigma_ns,t_total_ns,M1,M2,F_bar,F_00,F_01,F_10,F_11,n_neighbors_total,n_neighbors_pass,robust_score,pass
4.25,60.0,3.0,500.0,70.0,180.0,368.44969668991695,1.5391243418092353,-1.9302689512767408,239.38916868588123,190.87997889942366,1,7.142857142857143,133.3792530721647,0.5932050666634587,281.04422043004365,102.34713796942137,34.11571265647379,0.9922164613695337,0.99706707228949,0.9908224566264383,0.9908224566478123,0.990153859914394,9,8,0.8888888888888888,1
4.25,60.0,3.0,500.0,50.0,180.0,368.44969668991695,1.5391243418092353,-1.9302689512767408,239.38916868588123,190.87997889942366,1,10.0,133.3792530721647,0.5932050666634587,286.75850614432943,102.34713796942137,34.11571265647379,0.9921245936294809,0.9970519619814147,0.9907903268621885,0.9907903268959215,0.9898657587783988,9,8,0.8888888888888888,1
4.25,60.0,3.0,600.0,70.0,180.0,368.44969668991695,1.5391243418092353,-1.9302689512767408,239.38916868588123,190.87997889942366,1,7.142857142857143,160.05510368659765,1.025058355194457,334.3959216589096,122.81656556330564,40.93885518776855,0.9918895348669647,0.9956107140188263,0.9914515294797708,0.9914515294797708,0.9890443664894912,9,8,0.8888888888888888,1
4.0,60.0,3.0,600.0,70.0,180.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,1,7.142857142857143,160.05510368659765,1.025058355194457,334.3959216589096,147.31391274719743,49.10463758239914,0.9917053712086661,0.9956107140188263,0.9923928210389724,0.9923928210409702,0.9864251287358952,9,8,0.8888888888888888,1
4.0,70.0,3.0,500.0,70.0,210.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,1,7.142857142857143,97.99292062444749,0.23524701094144707,210.27155553460926,90.19219147787598,30.064063825958662,0.9928571497570908,0.9978065215717874,0.9909968958155889,0.9909968958451423,0.991628285795845,8,7,0.875,1
4.0,70.0,3.0,600.0,70.0,210.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,1,7.142857142857143,117.591504749337,0.4065068349068206,249.46872378438832,108.23062977345118,36.076876591150395,0.9928208895480849,0.9969111868933387,0.9919604265587233,0.9919604265587233,0.9904515181815541,8,7,0.875,1
4.0,60.0,3.0,400.0,70.0,180.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,1,7.142857142857143,106.70340245773176,0.3037209941316909,227.69251920117782,98.20927516479829,32.736425054932766,0.9927949951090501,0.9976568130436572,0.9913803008292363,0.9913803008292363,0.9907625657340706,8,7,0.875,1
4.0,70.0,3.0,500.0,50.0,210.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,1,10.0,97.99292062444749,0.23524701094144707,215.98584124889499,90.19219147787598,30.064063825958662,0.9926938225572243,0.9978040721612706,0.9909647465211904,0.9909647465495881,0.991041724996848,8,7,0.875,1
4.0,60.0,3.0,400.0,50.0,180.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,1,10.0,106.70340245773176,0.3037209941316909,233.4068049154635,98.20927516479829,32.736425054932766,0.992585265452028,0.9976571373256777,0.9913542025233665,0.9913542025637117,0.989975519395356,8,7,0.875,1
3.75,70.0,3.0,500.0,70.0,210.0,536.3535881000184,3.261517256515775,-4.09038134430727,164.44910325968846,131.12557068706587,1,7.142857142857143,97.99292062444749,0.23524701094144707,210.27155553460926,109.45991593877926,36.48663864625976,0.9925490283442681,0.9978065215717874,0.9927176338766759,0.992717633883625,0.986954324044984,8,7,0.875,1
3.75,60.0,3.5,600.0,70.0,210.0,536.3535881000184,3.261517256515775,-4.09038134430727,164.44910325968846,131.12557068706587,1,7.142857142857143,160.05510368659765,1.025058355194457,334.3959216589096,178.7845293666728,51.081294104763664,0.9922911257498378,0.9990716526469989,0.9918333894102395,0.9918333894102395,0.9864260715318736,8,7,0.875,1
